,Close
2019-12-02/2019-12-08,34.936666870117186
2019-12-09/2019-12-15,34.78333358764648
2019-12-16/2019-12-22,35.44933319091797
2019-12-23/2019-12-29,35.75533218383789
2019-12-30/2020-01-05,35.82133331298828
2020-01-06/2020-01-12,35.643333435058594
2020-01-13/2020-01-19,35.94133377075195
2020-01-20/2020-01-26,36.50266723632812
2020-01-27/2020-02-02,38.063332875569664
2020-02-03/2020-02-09,38.874000549316406
2020-02-10/2020-02-16,38.34599990844727
2020-02-17/2020-02-23,38.454000091552736
2020-02-24/2020-03-01,36.26222229003906
2020-03-02/2020-03-08,37.41066665649414
2020-03-09/2020-03-15,32.9613338470459
2020-03-16/2020-03-22,29.36066589355469
2020-03-23/2020-03-29,28.627333450317384
2020-03-30/2020-04-05,31.722666549682618
2020-04-06/2020-04-12,34.83333282470703
2020-04-13/2020-04-19,35.75999984741211
2020-04-20/2020-04-26,35.27733383178711
2020-04-27/2020-05-03,36.71533355712891
2020-05-04/2020-05-10,35.70066757202149
2020-05-11/2020-05-17,36.545999908447264
2020-05-18/2020-05-24,38.10733261108398
2020-05-25/2020-05-31,38.77600021362305
2020-06-01/2020-06-07,39.68600006103516
2020-06-08/2020-06-14,39.31999969482422
2020-06-15/2020-06-21,39.47666625976562
2020-06-22/2020-06-28,39.20666580200195
2020-06-29/2020-07-05,39.86000061035156
2020-07-06/2020-07-12,40.46199951171875
2020-07-13/2020-07-19,42.00733261108398
2020-07-20/2020-07-26,43.89199981689453
2020-07-27/2020-08-02,43.45611063639323
2020-08-03/2020-08-09,43.59866714477539
2020-08-10/2020-08-16,43.462667083740236
2020-08-17/2020-08-23,43.374000549316406
2020-08-24/2020-08-30,43.8606674194336
2020-08-31/2020-09-06,44.67133255004883
2020-09-07/2020-09-13,42.435333251953125
2020-09-14/2020-09-20,41.95600051879883
2020-09-21/2020-09-27,40.695333862304686
2020-09-28/2020-10-04,41.12799987792969
2020-10-05/2020-10-11,41.40533294677734
2020-10-12/2020-10-18,42.51266708374023
2020-10-19/2020-10-25,43.2033332824707
2020-10-26/2020-11-01,41.01111157735189
2020-11-02/2020-11-08,42.91999969482422
2020-11-09/2020-11-15,42.61799926757813
2020-11-16/2020-11-22,41.57866668701172
2020-11-23/2020-11-29,42.33733291625977
2020-11-30/2020-12-06,42.49733276367188
2020-12-07/2020-12-13,42.26466598510742
2020-12-14/2020-12-20,42.36866760253906
2020-12-21/2020-12-27,42.876000213623044
2020-12-28/2021-01-03,43.57399978637695
2021-01-04/2021-01-10,44.999333190917966
2021-01-11/2021-01-17,47.1653335571289
2021-01-18/2021-01-24,47.1859992980957
2021-01-25/2021-01-31,46.595333099365234
2021-02-01/2021-02-07,47.30266647338867
2021-02-08/2021-02-14,47.49400100708008
2021-02-15/2021-02-21,47.99866638183594
2021-02-22/2021-02-28,46.83733444213867
2021-03-01/2021-03-07,46.79466705322265
2021-03-08/2021-03-14,48.31399993896484
2021-03-15/2021-03-21,48.410667419433594
2021-03-22/2021-03-28,49.28733367919922
2021-03-29/2021-04-04,49.82999954223633
2021-04-05/2021-04-11,51.01066589355469
2021-04-12/2021-04-18,52.778665924072264
2021-04-19/2021-04-25,53.32133331298828
2021-04-26/2021-05-02,53.63611157735189
2021-05-03/2021-05-09,54.51466674804688
2021-05-10/2021-05-16,53.79199905395508
2021-05-17/2021-05-23,54.263999938964844
2021-05-24/2021-05-30,55.20800018310547
2021-05-31/2021-06-06,55.80266647338867
2021-06-07/2021-06-13,56.55266647338867
2021-06-14/2021-06-20,58.95933303833008
2021-06-21/2021-06-27,59.42066650390625
2021-06-28/2021-07-04,58.91133270263672
2021-07-05/2021-07-11,58.68333358764649
2021-07-12/2021-07-18,59.60133285522461
2021-07-19/2021-07-25,61.16199951171875
2021-07-26/2021-08-01,62.10777727762858
2021-08-02/2021-08-08,62.92399978637695
2021-08-09/2021-08-15,63.19600067138672
2021-08-16/2021-08-22,63.04933242797851
2021-08-23/2021-08-29,63.845332336425784
2021-08-30/2021-09-05,65.61866607666016
2021-09-06/2021-09-12,65.82733306884765
2021-09-13/2021-09-19,64.93600006103516
2021-09-20/2021-09-26,64.64933395385742
2021-09-27/2021-10-03,64.49866561889648
2021-10-04/2021-10-10,64.94533462524414
2021-10-11/2021-10-17,66.41599884033204
2021-10-18/2021-10-24,67.47266693115235
2021-10-25/2021-10-31,68.15
2021-11-01/2021-11-07,70.38000183105468
2021-11-08/2021-11-14,69.63333129882812
2021-11-15/2021-11-21,69.8740020751953
2021-11-22/2021-11-28,69.09866638183594
2021-11-29/2021-12-05,67.51266632080078
2021-12-06/2021-12-12,68.05599975585938
2021-12-13/2021-12-19,67.46399841308593
2021-12-20/2021-12-26,67.71866607666016
2021-12-27/2022-01-02,69.87833404541016
2022-01-03/2022-01-09,65.5893341064453
2022-01-10/2022-01-16,63.218666076660156
2022-01-17/2022-01-23,60.52799911499024
2022-01-24/2022-01-30,57.85200119018555
2022-01-31/2022-02-06,59.8913330078125
2022-02-07/2022-02-13,59.04333343505859
2022-02-14/2022-02-20,57.67000045776367
2022-02-21/2022-02-27,56.773999786376955
2022-02-28/2022-03-06,57.1479995727539
